time	diffusion_coefficient	number_of_branches
1971.58654354166	NA	0
1974.33492592414	0.0100451653527193	0.00888888888888889
1977.08330830662	0.00550639578641596	0.0266666666666668
1979.8316906891	0.0184226590796109	0.1
1982.58007307158	0.0100127672588571	0.191111111111111
1985.32845545405	0.0139290787195499	0.211111111111111
1988.07683783653	0.0113110234325981	0.142222222222222
1990.82522021901	0.0572715640326698	0.04
1993.57360260149	0.00190486368248984	0.00222222222222225
1996.32198498397	NA	0
1999.07036736645	NA	0
2001.81874974893	NA	0
2004.56713213141	0.08033890752998	0.126666666666667
2007.31551451389	0.138147568791566	0.826666666666666
2010.06389689637	0.138939494095792	0.61
2012.81227927884	3.74444555657094	4.01111111111111
2015.56066166132	2.63305651449088	56.6622222222222
2018.3090440438	4.58700778521983	61.5966666666667
2021.05742642628	6.5209765459861	59.77
2023.80580880876	1.79432109343822	15.8122222222222
